id,tokens,ner_tags,input_ids,token_type_ids,attention_mask,labels,true_labels,pred_labels,reward
67,['Fresh' 'out' 'the' 'psych' 'ward' 'today'],[0 0 0 0 0 0],[  101  4840  2041  1996  8827 17994  4829  2651   102],[0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1],[-100    0    0    0    0 -100    0    0 -100],"['O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O']",10.0
68,"['Today' 'was' 'awesome' ',' 'I' 'finally' 'get' 'to' 'relax' ':)']",[0 0 0 0 0 0 0 0 0 0],"[  101  2651  2001 12476  1010  1045  2633  2131  2000  9483  1024  1007
   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1],[-100    0    0    0    0    0    0    0    0    0    0 -100 -100],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10.0
69,"['My' '#twitter' 'age' 'is' '458' 'days' '0' 'hours' '3' 'minutes' '49'
 'seconds' '.' 'Find' 'out' 'yours' 'at' 'http://twitter.seocoder.org/'
 '#twittertime']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[  101  2026  1001 10474  2287  2003  3429  2620  2420  1014  2847  1017
  2781  4749  3823  1012  2424  2041  6737  2012  8299  1024  1013  1013
 10474  1012 27457 16044  2099  1012  8917  1013  1001 10474  7292   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    0    0 -100    0    0    0 -100    0    0    0    0    0    0
    0    0    0    0    0    0    0 -100 -100 -100 -100 -100 -100 -100
 -100 -100 -100 -100    0 -100 -100 -100]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10.0
70,"['What' 'is' 'it' 'with' 'people' 'and' 'punctuality' '?' 'I' 'used' 'to'
 'be' 'that' 'guy' 'and' 'honestly' ',' 'it' ""'s"" 'a' 'haze' 'now' '.'
 'Just' 'be' 'on' 'time' '.' 'It' ""'s"" 'not' 'like' 'its' 'a' 'surprise'
 '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[  101  2054  2003  2009  2007  2111  1998 26136  6593  8787  3012  1029
  1045  2109  2000  2022  2008  3124  1998  9826  1010  2009  1005  1055
  1037 16332  2085  1012  2074  2022  2006  2051  1012  2009  1005  1055
  2025  2066  2049  1037  4474  1012   102]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1]","[-100    0    0    0    0    0    0    0 -100 -100 -100    0    0    0
    0    0    0    0    0    0    0    0    0 -100    0    0    0    0
    0    0    0    0    0    0    0 -100    0    0    0    0    0    0
 -100]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10.0
71,"['After' 'I' 'pet' 'a' 'kitten' 'on' 'JFK' ',' 'the' 'owners' 'informed'
 'me' 'it' ""'s"" ""'"" 'double-pawed' ""'"" '(' 'polydactyl)' ',' 'which' 'is'
 '""' 'a' 'form' 'of' 'retardation' 'in' 'the' 'animal' 'kingdom' '""']",[0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[  101  2044  1045  9004  1037 18401  2006  1046 24316  1010  1996  5608
  6727  2033  2009  1005  1055  1005  3313  1011 22195  2098  1005  1006
 26572  2850  6593  8516  1007  1010  2029  2003  1000  1037  2433  1997
  2128  7559 20207  1999  1996  4111  2983  1000   102]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1]","[-100    0    0    0    0    0    0    9 -100    0    0    0    0    0
    0    0 -100    0    0 -100 -100 -100    0    0    0 -100 -100 -100
 -100    0    0    0    0    0    0    0    0 -100 -100    0    0    0
    0    0 -100]","['O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",4.0
72,"['Soulja' 'Boy' '|' 'TheDeAndreWay' '.' 'com' '-' 'The' 'DeAndre' 'Way'
 'in' 'stores' 'Nov' '.' '2' ',' '2010' 'http://t.co/woAiLlZ' 'via'
 '@SouljaBoy']",[ 9 10  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],"[  101  3969  3900  2879  1064  1996  3207  5685 15603  4710  1012  4012
  1011  1996  4670 16200  2126  1999  5324 13292  1012  1016  1010  2230
  8299  1024  1013  1013  1056  1012  2522  1013 24185 12502 23858  3081
  1030  3969  3900 11097   102]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1]","[-100    9 -100   10    0    0 -100 -100 -100 -100    0    0    0    0
    0 -100    0    0    0    0    0    0    0    0    0 -100 -100 -100
 -100 -100 -100 -100 -100 -100 -100    0    0 -100 -100 -100 -100]","['B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",4.0
73,"['About' 'online' 'dietician' ':' 'A' 'thinner' 'stool' 'than' 'usual'
 'can' 'be' 'identified' 'and' 'removed' 'before' 'they' 'get' 'are' '2'
 'weeks' 'ago' 'J' '...' 'http://bit.ly/cYGBdz']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[  101  2055  3784  8738 24108  2078  1024  1037 23082 14708  2084  5156
  2064  2022  4453  1998  3718  2077  2027  2131  2024  1016  3134  3283
  1046  1012  1012  1012  8299  1024  1013  1013  2978  1012  1048  2100
  1013 22330 18259  2094  2480   102]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1]","[-100    0    0    0 -100 -100    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0 -100 -100
    0 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10.0
74,"['RT' '@RMBWilliams' ':' 'Here' 'in' 'DC' '!' 'About' 'to' 'get' 'some'
 'rest' '!' 'Looking' 'forward' 'to' 'tonight' '!' 'Yes-sir' '!']",[0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[  101 19387  1030 28549  2497 29602  6632  5244  1024  2182  1999  5887
   999  2055  2000  2131  2070  2717   999  2559  2830  2000  3892   999
  2748  1011  2909   999   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    0    0 -100 -100 -100 -100 -100    0    0    0    7    0    0
    0    0    0    0    0    0    0    0    0    0    0 -100 -100    0
 -100]","['O', 'O', 'O', 'O', 'O', 'B-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",4.0
75,"['RT' '@twitter' ':' '#AskEv' 'your' 'big' 'questions' 'about' 'the' 'new'
 'Twitter' '.' 'com' 'today' 'at' '1pm' 'PST' '.' ""'ll"" 'be' 'responding'
 'from' 'his' 'own' 'account' '(@ev)' '.' 'Make' '...']",[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[  101 19387  1030 10474  1024  1001  3198  6777  2115  2502  3980  2055
  1996  2047 10474  1012  4012  2651  2012  1015  9737  8827  2102  1012
  1005  2222  2022 14120  2013  2010  2219  4070  1006  1030 23408  1007
  1012  2191  1012  1012  1012   102]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1]","[-100    0    0 -100    0    0 -100 -100    0    0    0    0    0    0
    1    0    0    0    0    0 -100    0 -100    0    0 -100    0    0
    0    0    0    0    0 -100 -100 -100    0    0    0 -100 -100 -100]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-corporation', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",4.0
76,"['I' 'need' 'a' 'syringe' 'of' 'anything' 'you' 'want' 'but' 'which'
 'will' 'switch' 'me' 'off' 'till' 'tomorrow' 'noon' ',' 'anyone' '??']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[  101  1045  2342  1037 25353  4892  2063  1997  2505  2017  2215  2021
  2029  2097  6942  2033  2125  6229  4826 11501  1010  3087  1029  1029
   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    0    0    0    0 -100 -100    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0 -100 -100]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10.0
77,"['RT' '@high_n_fly' ':' '#FACT' 'when' 'you' 'are' 'comfortable' 'with'
 'yourself' 'nothing' 'else' 'matters' 'nobody' 'can' 'tell' 'you' 'about'
 'yourself' '#HnF']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[  101 19387  1030  2152  1035  1050  1035  4875  1024  1001  2755  2043
  2017  2024  6625  2007  4426  2498  2842  5609  6343  2064  2425  2017
  2055  4426  1001  1044  2078  2546   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    0    0 -100 -100 -100 -100 -100    0    0 -100    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0 -100
 -100 -100 -100]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10.0
78,"['Lindsay' 'Lohan' 'allegedly' 'failed' 'her' 'drug' 'test' '.' 'So' 'not'
 'fetch' '.' 'Quick' ',' 'let' ""'s"" 'all' 'put' 'on' 'our' 'shocked'
 'faces' 'that' '23' 'days' 'of' 'rehab' 'did' ""n't"" 'work' '!']","[ 9 10  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0]","[  101 12110  8840  4819  9382  3478  2014  4319  3231  1012  2061  2025
 18584  1012  4248  1010  2292  1005  1055  2035  2404  2006  2256  7135
  5344  2008  2603  2420  1997 24497  2106  1050  1005  1056  2147   999
   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    9   10 -100    0    0    0    0    0    0    0    0    0    0
    0    0    0    0 -100    0    0    0    0    0    0    0    0    0
    0    0    0    0 -100 -100    0    0 -100]","['B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",4.0
79,"['I' 'remember' 'when' 'you' 'all' 'were' 'thiiis' 'big' ',' 'you' 'know'
 '?']",[0 0 0 0 0 0 0 0 0 0 0 0],"[  101  1045  3342  2043  2017  2035  2020 16215 28954  2015  2502  1010
  2017  2113  1029   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    0    0    0    0    0    0    0 -100 -100    0    0    0    0
    0 -100]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10.0
80,"['I' 'have' 'a' 'strong' 'hunch' 'Adam' 'will' 'be' 'a' 'story' 'on' 'TMZ'
 'tonight' '.' 'Gulp' '.']",[0 0 0 0 0 9 0 0 0 0 0 3 0 0 0 0],"[  101  1045  2031  1037  2844 15876 12680  4205  2097  2022  1037  2466
  2006  1056  2213  2480  3892  1012 26546  1012   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    0    0    0    0    0 -100    9    0    0    0    0    0    3
 -100 -100    0    0    0    0 -100]","['O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'B-creative-work', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",4.0
81,"['WEDNESDAY' 'NITES' 'WE' 'CRANK' 'IT' 'UP' 'AT' 'VISIONS' 'LOUNGE'
 '!!!!!' '18+' 'NO' 'COLLEGE' 'ID' 'NEEDED' '!' 'LADIES' 'FREE' 'B4'
 '11PM' '!' 'VISIONS' 'LOUNGE' '(' '247' '1ST' 'AVE' 'HKY' ')']",[0 0 0 0 0 0 0 7 8 0 0 0 0 0 0 0 0 0 0 0 0 7 8 0 0 0 0 0 0],"[  101  9317  9152  4570  2057 27987  2009  2039  2012 12018 11549   999
   999   999   999   999  2324  1009  2053  2267  8909  2734   999  6456
  2489  1038  2549  2340  9737   999 12018 11549  1006 23380  3083 13642
 22563  2100  1007   102]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1]","[-100    0    0 -100    0    0    0    0    0    7    8    0 -100 -100
 -100 -100    0 -100    0    0    0    0    0    0    0    0 -100    0
 -100    0    7    8    0    0    0    0    0 -100    0 -100]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'I-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'I-location', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",4.0
82,['@angelportugues' 'LMAO' '!' 'When' 'is' 'tht' 'one' 'day' '?:' 'P'],[0 0 0 0 0 0 0 0 0 0],"[  101  1030  4850  6442 15916 15808  1048  2863  2080   999  2043  2003
 16215  2102  2028  2154  1029  1024  1052   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    0 -100 -100 -100 -100    0 -100 -100    0    0    0    0 -100
    0    0    0 -100    0 -100]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10.0
83,"['RT' '@PLLGirls' ':' 'Episodes' '1-10' 'of' 'Pretty' 'Little' 'Liars'
 'will' 'air' 'in' 'the' 'UK' 'on' 'October' '18' '!']",[0 0 0 0 0 0 3 4 4 0 0 0 0 7 0 0 0 0],"[  101 19387  1030 20228  2140 15239  2015  1024  4178  1015  1011  2184
  1997  3492  2210 16374  2015  2097  2250  1999  1996  2866  2006  2255
  2324   999   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    0    0 -100 -100 -100 -100    0    0    0 -100 -100    0    3
    4    4 -100    0    0    0    0    7    0    0    0    0 -100]","['O', 'O', 'O', 'O', 'O', 'O', 'B-creative-work', 'I-creative-work', 'I-creative-work', 'O', 'O', 'O', 'O', 'B-location', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",4.0
84,"['@Loserface_Laura' 'when' 'mike' 'lets' 'me' 'know' ',' 'I' 'will' 'let'
 'you' 'know' '.' 'I' 'mean' 'everyone' 'might' 'just' 'switch' 'out' 'a'
 'lot' '.']",[0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[  101  1030 10916 12172  1035  6874  2043  3505 11082  2033  2113  1010
  1045  2097  2292  2017  2113  1012  1045  2812  3071  2453  2074  6942
  2041  1037  2843  1012   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    0 -100 -100 -100 -100    0    9    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
 -100]","['O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",4.0
85,"['Such' 'a' 'shiny' 'morning' '!!!' 'Love' 'It' '.' 'Anyways' ',' 'today'
 'will' 'be' 'very' 'busy' '!']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[  101  2107  1037 12538  2851   999   999   999  2293  2009  1012  4312
  2015  1010  2651  2097  2022  2200  5697   999   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    0    0    0    0    0 -100 -100    0    0    0    0 -100    0
    0    0    0    0    0    0 -100]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10.0
86,"['@BornThisWayBaby' 'thankk' 'yhuu' '#monsterlove' 'u' 'just' 'made' 'my'
 'day' ':D']",[0 0 0 0 0 0 0 0 0 0],"[  101  1030  2141 15222 26760  4710  3676  3762  4067  2243  1061  6979
  2226  1001  6071 14301  2063  1057  2074  2081  2026  2154  1024  1040
   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    0 -100 -100 -100 -100 -100 -100    0 -100    0 -100 -100    0
 -100 -100 -100    0    0    0    0    0    0 -100 -100]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10.0
87,"['Why' 'hate' 'on' 'somebody' 'for' 'doing' 'well' 'when' 'you' 'can'
 'simply' 'say' 'great' 'job' 'and' 'move' 'on' '..' '[Haters' 'u' 'can'
 'kill' 'yourself' ']' 'cuz' 'ur' 'losers']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[  101  2339  5223  2006  8307  2005  2725  2092  2043  2017  2064  3432
  2360  2307  3105  1998  2693  2006  1012  1012  1031  5223  2869  1057
  2064  3102  4426  1033 12731  2480 24471 23160   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0 -100    0 -100 -100    0    0    0    0    0
    0 -100    0    0 -100]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10.0
88,"['If' 'you' 'are' 'staying' 'in' 'Gainesville' ',' 'come' 'check' 'out'
 'Costa' 'Lounge' 'TONIGHT' '!' 'Say' 'you' 'are' 'with' 'salsa'
 'caliente' 'and' 'get' 'in' '...' 'http://fb.me/FZVzm8H9']","[ 0  0  0  0  0  7  0  0  0  0  7  8  0  0  0  0  0  0  9 10  0  0  0  0
  0]","[  101  2065  2017  2024  6595  1999 28645  3077  1010  2272  4638  2041
  6849 11549  3892   999  2360  2017  2024  2007 26509 10250 25099  1998
  2131  1999  1012  1012  1012  8299  1024  1013  1013  1042  2497  1012
  2033  1013  1042  2480  2615  2480  2213  2620  2232  2683   102]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1]","[-100    0    0    0    0    0    7 -100    0    0    0    0    7    8
    0    0    0    0    0    0    9   10 -100    0    0    0    0 -100
 -100    0 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100
 -100 -100 -100 -100 -100]","['O', 'O', 'O', 'O', 'O', 'B-location', 'O', 'O', 'O', 'O', 'B-location', 'I-location', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",4.0
